Latitude, Longitude, Data Value
83, 116, -1.80002
83, 117, -1.80019
83, 118, -1.80013
83, 119, -1.80016
83, 120, -1.80008
83, 121, -1.79999
83, 122, -1.79999
83, 123, -1.79997
83, 124, -1.79999
83, 125, -1.79999
83, 126, -1.80024
83, 127, -1.80021
83, 128, -1.79999
83, 129, -1.79999
83, 130, -1.79999
83, 131, -1.79999
83, 132, -1.79999
83, 133, -1.79999
83, 134, -1.79999
83, 135, -1.79999
83, 136, -1.79999
83, 137, -1.79997
83, 138, -1.79994
83, 139, -1.79991
83, 140, -1.79997
83, 141, -1.79997
83, 142, -1.79991
83, 143, -1.79991
83, 144, -1.79997
83, 145, -1.79999
83, 146, -1.80002
83, 147, -1.79999
83, 148, -1.79999
83, 149, -1.79999
83, 150, -1.79999
83, 151, -1.79999
83, 152, -1.79999
83, 153, -1.79999
83, 154, -1.79999
83, 155, -1.79999
83, 156, -1.79999
83, 157, -1.79999
83, 158, -1.79999
83, 159, -1.79999
83, 160, -1.79999
83, 161, -1.79999
83, 162, -1.79999
83, 163, -1.79999
83, 164, -1.79999
83, 165, -1.79999
83, 166, -1.79999
83, 167, -1.79999
83, 168, -1.79999
83, 169, -1.79999
83, 170, -1.79999
83, 171, -1.79999
83, 172, -1.79999
83, 173, -1.79999
83, 174, -1.79999
83, 175, -1.79999
83, 176, -1.79999
83, 177, -1.79999
83, 178, -1.79999
83, 179, -1.79999
83, 180, -1.79994
83, -179, -1.79999
83, -178, -1.79999
83, -177, -1.79999
83, -176, -1.79999
83, -175, -1.79999
83, -174, -1.79972
83, -173, -1.79947
83, -172, -1.79934
83, -171, -1.79956
83, -170, -1.79975
83, -169, -1.79994
83, -168, -1.79999
83, -167, -1.79999
83, -166, -1.79999
83, -165, -1.79999
83, -164, -1.79999
83, -163, -1.79999
83, -162, -1.79999
83, -161, -1.79999
83, -160, -1.79999
83, -159, -1.79999
83, -158, -1.79999
83, -157, -1.79999
83, -156, -1.79999
83, -155, -1.79999
83, -154, -1.79999
83, -153, -1.79999
83, -152, -1.79999
83, -151, -1.79999
83, -150, -1.79999
83, -149, -1.79999
83, -148, -1.79999
83, -147, -1.79999
83, -146, -1.79999
83, -145, -1.79999
83, -144, -1.79999
83, -143, -1.79999
83, -142, -1.79999
83, -141, -1.79999
83, -140, -1.80002
83, -139, -1.80002
83, -138, -1.79999
83, -137, -1.79997
83, -136, -1.79999
83, -135, -1.79997
83, -134, -1.80005
83, -133, -1.79999
83, -132, -1.79999
83, -131, -1.79999
83, -130, -1.79999
83, -129, -1.79999
83, -128, -1.79999
83, -127, -1.79999
83, -126, -1.79999
83, -125, -1.79999
83, -124, -1.79999
83, -123, -1.79999
83, -122, -1.79999
83, -121, -1.79999
83, -120, -1.79999
83, -119, -1.79999
83, -118, -1.79999
83, -117, -1.79999
83, -116, -1.79999
83, -115, -1.79999
83, -114, -1.79999
83, -113, -1.79999
83, -112, -1.79999
83, -111, -1.79999
83, -110, -1.79999
83, -109, -1.79999
83, -108, -1.79999
83, -107, -1.79999
83, -106, -1.79999
83, -105, -1.79999
83, -104, -1.79999
83, -103, -1.79999
83, -102, -1.79999
83, -101, -1.79999
83, -100, -1.79999
83, -99, -1.79999
83, -98, -1.79999
83, -97, -1.79999
83, -96, -1.79999
83, -95, -1.80005
83, -94, -1.79991
83, -93, -1.80005
83, -92, -1.79999
83, -91, -1.79997
83, -90, -1.79989
83, -89, -1.80005
83, -88, -1.80002
83, -87, -1.80008
83, -86, -1.79969
83, -85, -1.79923
83, -84, -1.7983
83, -83, -1.79657
83, -82, -1.79515
83, -81, -1.79219
83, -80, -1.79109
83, -79, -1.79342
83, -78, -1.79693
83, -77, -1.81781
83, -76, -999
83, -75, -999
83, -74, -999
83, -73, -999
83, -72, -999
83, -71, -999
83, -70, -999
83, -69, -999
83, -68, -1.79999
83, -67, -1.79999
83, -66, -1.79958
83, -65, -1.79882
83, -64, -1.79764
83, -63, -1.79498
83, -62, -1.79117
83, -61, -1.78564
83, -60, -1.77553
83, -59, -1.76556
83, -58, -1.76271
83, -57, -1.77
83, -56, -1.78328
83, -55, -1.79413
83, -54, -1.79838
83, -53, -1.79698
83, -52, -1.79093
83, -51, -1.78293
83, -50, -1.77698
83, -49, -1.77441
83, -48, -1.77454
83, -47, -1.77983
83, -46, -1.78895
83, -45, -1.79621
