Latitude, Longitude, Data Value
82, 73, -999
82, 74, -999
82, 75, -999
82, 76, -999
82, 77, -999
82, 78, -999
82, 79, -999
82, 80, -999
82, 81, -999
82, 82, -999
82, 83, -999
82, 84, -999
82, 85, -999
82, 86, -999
82, 87, -999
82, 88, -999
82, 89, -999
82, 90, -999
82, 91, -999
82, 92, -999
82, 93, -999
82, 94, -999
82, 95, -999
82, 96, -999
82, 97, -999
82, 98, -999
82, 99, -999
82, 100, -999
82, 101, -999
82, 102, -999
82, 103, -999
82, 104, -999
82, 105, -999
82, 106, -999
82, 107, -999
82, 108, -999
82, 109, -999
82, 110, -999
82, 111, -999
82, 112, -999
82, 113, -999
82, 114, -999
82, 115, -999
82, 116, -999
82, 117, -999
82, 118, -999
82, 119, -999
82, 120, -999
82, 121, -999
82, 122, -999
82, 123, -999
82, 124, -999
82, 125, -999
82, 126, -999
82, 127, -999
82, 128, -999
82, 129, -999
82, 130, -999
82, 131, -999
82, 132, -999
82, 133, -999
82, 134, -999
82, 135, -999
82, 136, -999
82, 137, -999
82, 138, -999
82, 139, -999
82, 140, -999
82, 141, -999
82, 142, -999
82, 143, -999
82, 144, -999
82, 145, -999
82, 146, -999
82, 147, -999
82, 148, -999
82, 149, -999
82, 150, -999
82, 151, -999
82, 152, -999
82, 153, -999
82, 154, -999
82, 155, -999
82, 156, -999
82, 157, -999
82, 158, -999
82, 159, -999
82, 160, -999
82, 161, -999
82, 162, -999
82, 163, -999
82, 164, -999
82, 165, -999
82, 166, -999
82, 167, -999
82, 168, -999
82, 169, -999
82, 170, -999
82, 171, -999
82, 172, -999
82, 173, -999
82, 174, -999
82, 175, -999
82, 176, -999
82, 177, -999
82, 178, -999
82, 179, -999
82, 180, -999
82, -179, -999
82, -178, -999
82, -177, -999
82, -176, -999
82, -175, -999
82, -174, -999
82, -173, -999
82, -172, -999
82, -171, -999
82, -170, -999
82, -169, -999
82, -168, -999
82, -167, -999
82, -166, -999
82, -165, -999
82, -164, -999
82, -163, -999
82, -162, -999
82, -161, -999
82, -160, -999
82, -159, -999
82, -158, -999
82, -157, -999
82, -156, -999
82, -155, -999
82, -154, -999
82, -153, -999
82, -152, -999
82, -151, -999
82, -150, -999
82, -149, -999
82, -148, -999
82, -147, -999
82, -146, -999
82, -145, -999
82, -144, -999
82, -143, -999
82, -142, -999
82, -141, -999
82, -140, -999
82, -139, -999
82, -138, -999
82, -137, -999
82, -136, -999
82, -135, -999
82, -134, -999
82, -133, -999
82, -132, -999
82, -131, -999
82, -130, -999
82, -129, -999
82, -128, -999
82, -127, -999
82, -126, -999
82, -125, -999
82, -124, -999
82, -123, -999
82, -122, -999
82, -121, -999
82, -120, -999
82, -119, -999
82, -118, -999
82, -117, -999
82, -116, -999
82, -115, -999
82, -114, -999
82, -113, -999
82, -112, -999
82, -111, -999
82, -110, -999
82, -109, -999
82, -108, -999
82, -107, -999
82, -106, -999
82, -105, -999
82, -104, -999
82, -103, -999
82, -102, -999
82, -101, -999
82, -100, -999
82, -99, -999
82, -98, -999
82, -97, -999
82, -96, -999
82, -95, -999
82, -94, -999
82, -93, -999
82, -92, -999
82, -91, -999
82, -90, -999
82, -89, -999
82, -88, -999
82, -87, -999
82, -86, -999
82, -85, -999
82, -84, 0.890083
82, -83, -999
82, -82, -999
82, -81, -999
82, -80, -999
82, -79, -999
82, -78, -999
82, -77, -999
82, -76, -999
82, -75, -999
82, -74, -999
82, -73, -999
82, -72, -999
82, -71, -999
82, -70, -999
82, -69, -999
82, -68, -999
82, -67, -999
82, -66, -999
82, -65, -999
82, -64, -999
82, -63, -999
82, -62, -999
82, -61, -999
82, -60, -999
82, -59, -999
82, -58, -999
82, -57, -999
82, -56, -999
82, -55, -999
82, -54, -999
82, -53, 0.55953
82, -52, -999
82, -51, 0.726836
82, -50, -999
82, -49, -999
82, -48, -999
82, -47, -999
82, -46, 0.559832
82, -45, -999
82, -44, -999
82, -43, -999
82, -42, -999
82, -41, -999
82, -40, -999
82, -39, -999
82, -38, -999
82, -37, -999
82, -36, -999
82, -35, -999
82, -34, -999
82, -33, -999
82, -32, -999
82, -31, -999
82, -30, 3.31282
82, -29, 0.123883
82, -28, 1.07875
82, -27, -999
82, -26, -999
82, -25, -999
82, -24, -999
82, -23, 0.485993
82, -22, -999
82, -21, -999
82, -20, -999
82, -19, -999
82, -18, -999
82, -17, -999
82, -16, -999
82, -15, -999
82, -14, -999
82, -13, 0.317292
82, -12, -999
82, -11, -999
82, -10, -999
82, -9, -999
82, -8, -999
82, -7, -999
82, -6, -999
82, -5, -999
82, -4, -999
82, -3, -999
82, -2, -999
82, -1, -999
82, 0, -999
82, 1, -999
82, 2, -999
82, 3, -999
82, 4, -999
82, 5, -999
82, 6, -999
82, 7, -999
82, 8, -999
82, 9, -999
82, 10, -999
82, 11, -999
82, 12, -999
82, 13, -999
82, 14, -999
82, 15, -999
82, 16, -999
82, 17, -999
82, 18, -999
82, 19, -999
81, 20, -999
81, 21, -999
81, 22, -999
81, 23, -999
81, 24, -999
81, 25, -999
81, 26, -999
81, 27, -999
81, 28, -999
81, 29, -999
81, 30, -999
81, 31, -999
81, 32, -999
81, 33, -999
81, 34, -999
81, 35, -999
81, 36, -999
81, 37, -999
81, 38, -999
81, 39, -999
81, 40, -999
81, 41, -999
81, 42, -999
81, 43, -999
81, 44, -999
81, 45, -999
81, 46, -999
81, 47, -999
81, 48, -999
81, 49, -999
81, 50, -999
81, 51, -999
81, 52, -999
81, 53, -999
81, 54, -999
81, 55, -999
81, 56, -999
81, 57, 2.82373
81, 58, 0.573489
81, 59, -999
81, 60, 0.737906
81, 61, -999
81, 62, -999
81, 63, 0.717596
81, 64, 2.31195
81, 65, -999
81, 66, -999
81, 67, -999
81, 68, -999
81, 69, -999
81, 70, -999
81, 71, -999
81, 72, -999
81, 73, -999
81, 74, -999
81, 75, -999
81, 76, -999
81, 77, -999
81, 78, -999
81, 79, -999
81, 80, 0.356451
81, 81, -999
81, 82, -999
81, 83, -999
81, 84, -999
81, 85, -999
81, 86, -999
81, 87, -999
81, 88, -999
81, 89, -999
81, 90, -999
81, 91, -999
81, 92, -999
81, 93, -999
81, 94, -999
81, 95, -999
81, 96, -999
81, 97, 1.03635
81, 98, -999
81, 99, -999
81, 100, -999
81, 101, -999
81, 102, -999
81, 103, -999
81, 104, -999
81, 105, -999
81, 106, -999
81, 107, -999
81, 108, -999
81, 109, -999
81, 110, -999
81, 111, -999
81, 112, -999
81, 113, -999
81, 114, -999
81, 115, -999
81, 116, -999
81, 117, -999
81, 118, -999
81, 119, -999
81, 120, -999
81, 121, -999
81, 122, -999
81, 123, -999
81, 124, -999
81, 125, -999
81, 126, -999
81, 127, -999
81, 128, -999
81, 129, -999
81, 130, -999
81, 131, -999
81, 132, -999
81, 133, -999
81, 134, -999
81, 135, -999
81, 136, -999
81, 137, -999
81, 138, -999
81, 139, -999
81, 140, -999
81, 141, -999
81, 142, -999
81, 143, -999
81, 144, -999
81, 145, -999
81, 146, -999
81, 147, -999
81, 148, -999
81, 149, -999
81, 150, -999
81, 151, -999
81, 152, -999
81, 153, -999
81, 154, -999
81, 155, -999
81, 156, -999
81, 157, -999
81, 158, -999
81, 159, -999
81, 160, -999
81, 161, -999
81, 162, -999
81, 163, -999
81, 164, -999
81, 165, -999
81, 166, -999
81, 167, -999
81, 168, -999
81, 169, -999
81, 170, -999
81, 171, -999
81, 172, -999
81, 173, -999
81, 174, -999
81, 175, -999
81, 176, -999
81, 177, -999
81, 178, -999
81, 179, -999
81, 180, -999
